,Gastrocnemius,Tibialis Anterior,Soleus,Vastus Medialis,Vastus Lateralis,Rectus Femoris,Biceps Femoris,Semitendinosus,Gracilis,Gluteus Medius
27443,0.030605879,0.5366674,0.049253944,0.037895523,0.047184255,0.0705975,0.040700026,0.048810616,0.10728011,0.07927528
27444,0.028434392,0.52076113,0.046017807,0.032972198,0.04282938,0.066428415,0.036072966,0.043300953,0.09537569,0.07541039
27445,0.029698672,0.5033993,0.04835448,0.031161936,0.04111558,0.06763021,0.037714783,0.046348386,0.09136328,0.072606236
27446,0.027310373,0.4837236,0.044633042,0.029596405,0.039985344,0.065925166,0.04519563,0.057522513,0.09133591,0.06547633
27447,0.022596035,0.45577887,0.037256565,0.027268544,0.03866881,0.05728553,0.05939624,0.0786287,0.08885313,0.05690742
27448,0.02499941,0.4185555,0.03830321,0.028373532,0.040476307,0.051020738,0.08360438,0.11165212,0.09383167,0.057289634
27449,0.027275223,0.38834062,0.038771797,0.029060872,0.040580884,0.048024617,0.10701902,0.14625828,0.09960858,0.058786843
27450,0.027111713,0.36707166,0.036124684,0.03153541,0.04195526,0.050576806,0.13894004,0.19838521,0.10889192,0.057700854
27451,0.02389209,0.3478514,0.03220204,0.038393803,0.04920259,0.060154766,0.18019049,0.27953982,0.12355891,0.059615377
27452,0.022260549,0.3256173,0.030815572,0.04541063,0.058491107,0.06625176,0.2195053,0.37484908,0.13863645,0.06441575
27453,0.025517285,0.3131335,0.030022187,0.057337478,0.0744005,0.07515731,0.2680568,0.46671742,0.15376276,0.07288693
27454,0.030921847,0.30971518,0.03174623,0.07392452,0.09329241,0.08635836,0.3138036,0.54599065,0.16995321,0.08295556
27455,0.033387,0.31346336,0.032823376,0.087467976,0.10677411,0.09802826,0.3538096,0.6089644,0.18588682,0.08949224
27456,0.034928787,0.32519853,0.035922337,0.10272772,0.123878814,0.11764858,0.3968,0.66262287,0.20510681,0.09335223
